capability_id,capability,domain,description,status,normative_refs,source_refs,prerequisites,dependents,corpus_direct,corpus_indirect,unlock_basis,affected_rules,risk,priority,proposed_wave,blocked_by_normative,notes
CAP-TRANSFORM-002,Copiar/transformar definición y modificar texto,transformation,Sobrescribe definición efectiva o parches manteniendo identidad/estado de instancia y duración.,SUPPORTED,N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-TARGET-001;CAP-STATE-002,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector COPY/TRANSFORM/MODIFY_TEXT; conteo exacto no agregado,copia; transformación; texto,MEDIUM,P1,W2,NO,
CAP-SEARCH-001,Búsqueda filtrada en zona,search,"Busca con filtro, propietario, zona, destino, revelación mínima, barajado y elección persistible.",PARTIAL,N-ZONE-02;N-TOKEN-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md; docs/CANONICAL_TAXONOMY.md §3",CAP-ZONE-002;CAP-PRIVACY-001;CAP-TARGET-002,CAP-SEARCH-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector búsquedas en corpus; conteo exacto no agregado,buscar; revelar; barajar,HIGH,P0,W1,NO,PendingSearch cubre una ruta; faltan combinaciones generales de audiencia/orden/top-N.
CAP-SEARCH-002,Revelar hasta coincidencia,search,"Procesa la cima en orden, separa aciertos/fallos y aplica política explícita de agotamiento.",SUPPORTED,N-ZONE-02;N-TOKEN-03,docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §3; docs/CARD_CORPUS_CONFORMANCE.md §4,CAP-ACTION-003;CAP-SECRET-001;CAP-SECRET-002;CAP-SEARCH-001,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,capacidad general probada; no promueve automáticamente entradas del corpus,REVEAL_UNTIL,MEDIUM,P1,W0,NO,"Incluye codec, snapshot y replay; una carta sigue requiriendo toda su semántica y catálogo."
CAP-SEARCH-003,"Top-N, fondo y reordenación",search,"Mira/revela N, elige subconjuntos, coloca al fondo y persiste el orden restante.",MISSING,N-ZONE-02;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-003;CAP-SECRET-001;CAP-SECRET-002,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector top-N/fondo/reordenación en filas PARTIAL/MISSING,mirar; revelar; reordenar,HIGH,P0,W1,NO,
CAP-TRANSMUTE-001,Operación atómica de Transmutación,transmutation,"Mueve permanente propio, acredita coste impreso y encola ON_TRANSMUTED sin ventana intermedia.",SUPPORTED,N-TRANSMUTATION-01;N-COST-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-003;CAP-ZONE-004,CAP-TRANSMUTE-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla universal; selector ON_TRANSMUTED/transmutación del corpus,Transmutación; ON_TRANSMUTED,HIGH,P0,W0,NO,
CAP-TRANSMUTE-002,Ventanas por tipo de Transmutación,transmutation,Determina las «fases correspondientes» para cada tipo y rol del jugador.,BLOCKED,N-TRANSMUTATION-02;N-PHASE-08,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-TIME-004;CAP-TRANSMUTE-001;CAP-NORM-001,,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla global; no conteo de entradas,Transmutación; fases,HIGH,P1,W-NORM,YES: la fuente no determina ventana por tipo,La implementación uniforme actual no resuelve la ambigüedad normativa.
CAP-COMBAT-001,Combate ordinario,combat,"Declara/gira atacantes y bloqueadores, abre respuestas y resuelve daño, letal y sobrante.",SUPPORTED,N-COMBAT-01;N-COMBAT-02;N-COMBAT-04,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-TIME-003;CAP-TIME-004;CAP-STATE-001;CAP-DAMAGE-001;CAP-DAMAGE-002;CAP-DAMAGE-004,CAP-COMBAT-002;CAP-COMBAT-003;CAP-COMBAT-005;CAP-KEYWORD-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla transversal y selector combate; conteo exacto no agregado,ataque; bloqueo; daño,CRITICAL,P0,W0,NO,
CAP-COMBAT-002,Multibloqueo y asignación ordenada,combat,Admite varios bloqueadores pero requiere regla canónica para ordenar/repartir daño.,BLOCKED,N-COMBAT-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-SECRET-002;CAP-TRANSFORM-001;CAP-COMBAT-001;CAP-NORM-001,CAP-KEYWORD-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla global; entradas de interacción no agregadas,multibloqueo; reparto de daño,CRITICAL,P0,W-NORM,YES: el PDF permite multibloqueo pero no fija orden/reparto,
CAP-COMBAT-003,Desafío,combat,"Una vez por turno, Señor criatura desafía objetivo elegible, sin giro automático ni sobrante.",SUPPORTED,N-LEGENDARY-07,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-TRANSFORM-001;CAP-COMBAT-001,CAP-COMBAT-004,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla Mítica general; entradas Señor auditadas sin sumar variantes,Desafío,HIGH,P0,W0,NO,
CAP-COMBAT-004,Desafío iniciado por efecto/no-Señor,combat,Permite que un efecto declare Desafío con iniciador parametrizado sin el comando ordinario de Señor.,MISSING,N-LEGENDARY-07;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-TRIGGER-001;CAP-COMBAT-003,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector Desafío disparado en filas PARTIAL/MISSING; intervalo trazable,Desafío disparado,HIGH,P1,W2,NO,
CAP-COMBAT-005,Combate multijugador,combat,Selecciona defensor entre 2+ participantes y proyecta estado por jugador.,PARTIAL,N-COMBAT-05;N-COMBAT-06,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-PRIVACY-001;CAP-COMBAT-001,CAP-COMBAT-006,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla de partida; no conteo por carta,2+ jugadores; defensor,HIGH,P1,W-NORM,YES: continuidad y algunas decisiones para 3+ no están definidas,
CAP-COMBAT-006,Terminación multijugador,combat,"Determina eliminación, continuidad, empate y ganadores para tres o más jugadores.",BLOCKED,N-COMBAT-06,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-COMBAT-005;CAP-NORM-001,,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla de partida; no conteo por carta,derrota; concesión; empate,CRITICAL,P1,W-NORM,YES: el canon sólo cierra exactamente dos jugadores,
CAP-KEYWORD-001,Keywords nominales de combate,keyword,"Semántica tipada para Vuelo, Dureza, Intangible, Estampida, Cavar, Infectar, no girarse y ataque doble.",MISSING,N-COMBAT-01;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-TAXONOMY-001;CAP-COMBAT-001;CAP-COMBAT-002,CAP-KEYWORD-002;CAP-EFFECT-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector keywords/intrínsecas en 431 filas; conteo exacto no agregado,keywords impresas,CRITICAL,P0,W1,NO,Aceptar cadenas o tener CAN_CHALLENGE no implementa estas semánticas.
CAP-KEYWORD-002,Keywords concedidas y retiradas,keyword,"Compone keywords de definición, Equipo, continuos y parches con duración y procedencia.",PARTIAL,N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-STATE-002;CAP-KEYWORD-001,CAP-IMMUNITY-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector keywords y equipment_granted_keywords; impacto indirecto,conceder/retirar habilidad,HIGH,P1,W2,NO,
CAP-IMMUNITY-001,Inmunidades tipadas,immunity,"Evalúa predicados por tipo de fuente, habilidad, permanencia, controlador y clase de efecto.",PARTIAL,N-LEGENDARY-02;N-LEGENDARY-06,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-TARGET-001;CAP-TAXONOMY-001;CAP-STACK-001;CAP-DAMAGE-005;CAP-KEYWORD-002,CAP-EFFECT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector inmunidad en filas PARTIAL/MISSING; conteo exacto no agregado,Divino; Evento; Recurso Rápido; habilidades,CRITICAL,P0,W1,YES: «a modo de Eventos» no fija clasificación completa,La inmunidad Divina específica está soportada; cadenas IMMUNE_* no constituyen predicado general completo.
CAP-EFFECT-001,Primitivas declarativas de efecto,effect,"Efectos tipados para daño/Heridas, Fuerza, giro, destrucción, regeneración, robo, Pasos, control y movimientos.",PARTIAL,N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001;CAP-TARGET-001;CAP-STACK-001;CAP-IMMUNITY-001,CAP-EFFECT-002;CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,431 filas descompuestas por capacidades backend; 143 MISSING y 245 PARTIAL no se atribuyen a una única primitiva,efectos de texto,CRITICAL,P0,W1,NO,"Cobertura amplia, pero no intérprete general ni garantía de combinaciones completas."
CAP-EFFECT-002,Efectos continuos y estado derivado,effect,"Recalcula deltas, alcance, exclusiones, fases suprimidas y keywords mientras exista la fuente.",PARTIAL,N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-TARGET-002;CAP-STATE-001;CAP-STATE-002;CAP-ATTACH-001;CAP-KEYWORD-001;CAP-EFFECT-001,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector duración PERMANENTE/continuos; taxonomía pendiente impide cierre,continuos; supresión de fase,HIGH,P0,W1,NO,
CAP-EFFECT-003,Composición de efectos,effect,"Secuencia primitivas con condiciones, ramas, valores capturados, elecciones, atomicidad y visibilidad por paso.",MISSING,N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ACTION-003;CAP-COST-003;CAP-COST-005;CAP-COST-006;CAP-ZONE-003;CAP-ZONE-005;CAP-ZONE-006;CAP-SECRET-002;CAP-TRIGGER-001;CAP-TRANSFORM-002;CAP-SEARCH-002;CAP-SEARCH-003;CAP-COMBAT-004;CAP-EFFECT-001;CAP-EFFECT-002;CAP-EFFECT-005;CAP-EFFECT-006,CAP-EFFECT-004;CAP-CATALOG-001,431 entradas: selector residual de las 143 entradas MISSING; no equivale a 143 desbloqueos exclusivos,386 identidades: 132 MISSING agregadas; 45 variantes no se suman como identidades,CARD_CORPUS_CONFORMANCE resultado agregado + selector residual; direct/indirect/prerequisite separados,secuencias; condiciones; creación; control; zonas,CRITICAL,P0,W1,NO,No usar handlers por card_id; cada fila puede depender además de capabilities especializadas.
CAP-EFFECT-004,Creación de fichas/instancias,effect,"Crea instancias declarativas con definición, propietario, controlador, zona y estado inicial.",PARTIAL,N-TOKEN-01;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-003;CAP-EFFECT-003,CAP-CATALOG-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector creación de fichas en filas PARTIAL/MISSING; intervalo trazable,crear fichas,HIGH,P1,W2,NO,
CAP-EFFECT-005,Descarte forzado con elector,effect,"Distingue quién elige cartas a descartar, zona, cardinalidad, revelación y causa.",MISSING,N-ZONE-02;N-PHASE-07;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-003;CAP-SECRET-002,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector descarte forzado en filas PARTIAL/MISSING,descarte forzado,HIGH,P0,W1,NO,
CAP-EFFECT-006,Cambio de ownership/control,effect,Cambia control temporal/permanente sin alterar propietario y restaura cadenas inversas.,SUPPORTED,N-TOKEN-03;N-ZONE-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ZONE-001;CAP-STATE-002,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector CHANGE_CONTROL del corpus; conteo exacto no agregado,cambiar control,MEDIUM,P1,W2,NO,
CAP-CATALOG-001,Ingesta completa del corpus,catalog,"Publica sólo definiciones con tipo, texto, procedencia y semántica completos; no equipara representable con incorporada.",PARTIAL,N-TOKEN-01;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-TAXONOMY-001;CAP-EFFECT-003;CAP-EFFECT-004;CAP-NORM-002,,"431 entradas: 2 SUPPORTED, 245 PARTIAL, 143 MISSING, 41 AMBIGUOUS, 0 CONFLICT","386 identidades: 2 SUPPORTED, 212 PARTIAL, 132 MISSING, 40 AMBIGUOUS; 45 variantes descontadas",conteos exactos reproducibles de CARD_CORPUS_CONFORMANCE §2; estados documentales no se traducen automáticamente,catálogo; manifests; procedencia,CRITICAL,P0,W3,NO,"Los conteos de entradas, identidades y variantes se mantienen separados."
CAP-NORM-001,Resolución de ambigüedades editoriales,normative,Obtiene aclaración autoritativa para filas AMBIGUOUS sin elegir una interpretación técnica.,BLOCKED,N-PHASE-01..10;N-COMBAT-03;N-COMBAT-05..06;N-LEGENDARY-06;N-TRANSMUTATION-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §§3-4,8; docs/CARD_CORPUS_CONFORMANCE.md §2",,CAP-TIME-003;CAP-TIME-004;CAP-TRANSMUTE-002;CAP-COMBAT-002;CAP-COMBAT-006,431 entradas: 41 AMBIGUOUS,386 identidades: 40 AMBIGUOUS; 45 variantes se conservan aparte,"conteos exactos reproducibles de CARD_CORPUS_CONFORMANCE §2; desbloqueo normativo, no técnico",lecturas ambiguas,CRITICAL,P0,W-NORM,YES: requiere fuente normativa adicional,
CAP-NORM-002,Presupuesto de puntos Mítico,normative,Selecciona un techo de construcción entre cifras expresamente incompatibles.,BLOCKED,N-POINTS-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §§3.6,8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §2",,CAP-CATALOG-001,"431 entradas: regla de formato, no atribuible a cartas individuales",386 identidades / 45 variantes: no aplicable como desbloqueo mecánico individual,conflicto normativo trazable N-POINTS-01; sin conteo de desbloqueo,puntos de mazo,HIGH,P0,W-NORM,"YES: 200, 300–400, ≈300 y 300 son incompatibles como techo único",
